longitude,latitude,housing_median_age,households,median_income,median_house_value
-122.23,37.81,52.0,258.0,88793.0,410300.0
-122.24,37.81,52.0,327.0,68591.0,352400.0
-122.24,37.81,52.0,256.0,60302.0,287300.0
-122.23,37.81,52.0,352.0,75080.0,348700.0
-122.24,37.81,52.0,483.0,27477.0,243800.0
-122.24,37.8,52.0,175.0,21944.0,211500.0
-122.25,37.8,52.0,488.0,30149.0,218400.0
-122.24,37.81,52.0,518.0,36750.0,269900.0
-122.25,37.81,46.0,747.0,32250.0,218800.0
-122.25,37.8,42.0,1015.0,29345.0,225000.0
-122.25,37.8,43.0,722.0,21429.0,250000.0
-122.25,37.8,41.0,413.0,16121.0,171400.0
-122.25,37.8,29.0,773.0,13929.0,193800.0
-122.24,37.79,27.0,429.0,23173.0,125000.0
-122.25,37.79,45.0,460.0,17772.0,97500.0
-122.25,37.79,50.0,196.0,26458.0,125000.0
-122.25,37.79,52.0,363.0,21810.0,138800.0
-122.25,37.8,36.0,543.0,22303.0,116700.0
-122.25,37.8,43.0,644.0,16504.0,151800.0
-122.24,37.8,52.0,347.0,21563.0,128600.0
-122.24,37.8,52.0,335.0,21348.0,140600.0
-122.24,37.8,47.0,554.0,26292.0,182700.0
-122.23,37.8,52.0,257.0,23833.000000000004,146900.0
-122.24,37.8,52.0,401.0,29570.0,122800.0
-122.24,37.8,49.0,677.0,25238.0,169300.0
-122.23,37.8,52.0,186.0,19375.0,126600.0
-122.23,37.8,51.0,392.0,19028.0,127900.0
-122.23,37.8,50.0,415.0,22500.0,123500.0
-122.23,37.8,52.0,280.0,23929.0,111900.0
-122.23,37.79,43.0,1231.0,21917.0,112800.0
-122.23,37.79,52.0,412.0,29357.000000000004,107900.0
-122.23,37.79,30.0,263.0,18854.0,137500.0
-122.24,37.79,39.0,389.0,21638.0,105500.0
-122.24,37.79,47.0,303.0,21250.0,95500.0
-122.24,37.79,52.0,168.0,33750.0,116100.0
-122.24,37.79,43.0,357.0,22542.0,112200.0
-122.25,37.79,51.0,55.0,21000.0,75000.0
-122.25,37.79,39.0,123.0,16000.0,112500.0
-122.25,37.79,52.0,227.0,36250.0,125000.0
-122.22,37.77,52.0,138.0,16471.0,95000.0
-122.22,37.77,52.0,259.0,25900.0,96400.0
-122.23,37.77,52.0,183.0,25700.0,72000.0
-122.23,37.78,52.0,126.0,26429.0,71300.0
-122.23,37.78,52.0,213.0,30257.0,80800.0
-122.22,37.78,50.0,477.0,14886.0,128800.0
-122.23,37.78,43.0,438.0,19338.0,112500.0
-122.23,37.78,52.0,255.0,14844.0,119400.0
-122.23,37.78,44.0,751.0,16009.0,118100.0
-122.23,37.79,49.0,219.0,22930.0,106300.0
-122.22,37.79,37.0,523.0,21494.0,132500.0
-122.23,37.79,30.0,140.0,16197.999999999998,122700.0
-122.23,37.79,40.0,184.0,13281.0,113300.0
-122.22,37.79,44.0,272.0,35156.0,109500.0
-122.22,37.79,52.0,685.0,39048.0,164700.0
-122.22,37.79,46.0,527.0,26042.0,124700.0
-122.22,37.79,49.0,424.0,25000.0,136700.0
-122.22,37.79,38.0,659.0,27969.0,141700.0
-122.2,37.79,29.0,340.0,28321.0,150000.0
-122.21,37.79,47.0,292.0,29583.0,138800.0
-122.21,37.79,34.0,516.0,28365.0,139200.0
-122.21,37.79,35.0,386.0,28750.0,143800.0
-122.21,37.8,39.0,464.0,30682.0,156500.0
-122.21,37.8,39.0,446.0,30757.0,151000.0
-122.2,37.8,43.0,455.0,49559.0,273000.0
-122.2,37.8,52.0,268.0,47721.0,217100.0
-122.21,37.8,52.0,706.0,34861.0,187100.0
-122.2,37.8,41.0,340.0,51184.0,239600.0
-122.21,37.8,48.0,252.0,40977.0,229700.0
-122.19,37.8,48.0,238.0,47440.0,257300.0
-122.19,37.8,46.0,332.0,42727.00000000001,246900.0
-122.2,37.79,40.0,235.0,41739.0,169600.0
-122.2,37.8,46.0,399.0,38487.0,203300.0
-122.19,37.8,52.0,277.0,40114.0,263400.0
-122.19,37.79,45.0,454.0,46563.0,231800.0
-122.2,37.79,35.0,390.0,23036.0,126000.0
-122.2,37.79,49.0,210.0,26667.0,122000.0
-122.2,37.79,44.0,491.0,26190.000000000004,134700.0
-122.21,37.79,45.0,474.0,24167.0,139400.0
-122.2,37.79,45.0,480.0,27788.0,115400.0
-122.21,37.78,46.0,569.0,27352.0,137300.0
-122.21,37.78,52.0,269.0,18472.0,137000.0
-122.21,37.78,52.0,245.0,26583.0,142600.0
-122.21,37.78,49.0,245.0,30536.0,137500.0
-122.22,37.78,44.0,610.0,23906.0,111700.0
-122.21,37.78,43.0,407.0,17188.0,126800.0
-122.21,37.78,47.0,241.0,26250.0,111300.0
-122.22,37.77,40.0,135.0,28015.0,114800.0
-122.22,37.78,50.0,440.0,17276.0,102300.0
-122.22,37.78,44.0,495.0,20801.0,131900.0
-122.22,37.78,51.0,393.0,24890.0,119100.0
-122.21,37.76,52.0,300.0,17546.0,80600.0
-122.21,37.77,52.0,137.0,40904.0,80600.0
-122.2,37.77,49.0,483.0,24338.000000000004,102400.0
-122.21,37.77,46.0,354.0,23309.000000000004,98700.0
-122.21,37.77,43.0,277.0,22604.000000000004,100000.0
-122.19,37.77,42.0,263.0,18039.0,92300.0
-122.2,37.77,39.0,537.0,22562.000000000004,94800.0
-122.2,37.77,41.0,341.0,20562.0,102000.0
-122.2,37.78,52.0,423.0,35398.0,158400.0
-122.2,37.78,39.0,376.0,31167.0,121600.0
-122.2,37.78,50.0,378.0,25401.0,129100.0
-122.2,37.77,43.0,484.0,28980.0,121400.0
-122.21,37.78,44.0,393.0,23125.0,102800.0
-122.19,37.78,52.0,168.0,28750.0,160000.0
-122.19,37.77,52.0,425.0,33715.0,143900.0
-122.19,37.77,52.0,417.0,35114.0,151200.0
-122.19,37.78,52.0,375.0,43125.0,164400.0
-122.19,37.78,52.0,369.0,32200.000000000004,156500.0
-122.19,37.78,49.0,209.0,52328.0,174200.0
-122.19,37.78,52.0,190.0,37262.0,166900.0
-122.18,37.79,39.0,106.0,52577.99999999999,253000.0
-122.18,37.79,41.0,214.0,70875.0,240700.0
-122.18,37.79,46.0,329.0,39712.0,208100.0
-122.19,37.79,47.0,256.0,29514.0,198100.0
-122.19,37.79,50.0,201.0,26667.0,172800.0
-122.18,37.81,37.0,266.0,54446.0,336700.0
-122.18,37.8,34.0,195.0,62838.0,318200.0
-122.18,37.8,23.0,328.0,67527.0,285800.0
-122.13,37.77,24.0,324.0,70712.0,293000.0
-122.17,37.78,42.0,267.0,36875.0,157300.0
-122.17,37.77,30.0,703.0,28750.0,135300.0
-122.18,37.78,50.0,284.0,32984.0,160700.0
-122.17,37.78,49.0,181.0,38750.0,140600.0
-122.17,37.78,52.0,121.0,41750.0,144000.0
-122.16,37.77,48.0,180.0,47708.00000000001,156300.0
-122.16,37.77,45.0,384.0,35739.0,176000.0
-122.16,37.77,39.0,316.0,30958.0,145800.0
-122.17,37.77,39.0,322.0,33958.0,141900.0
-122.17,37.77,31.0,452.0,18710.0,90700.0
-122.17,37.76,47.0,382.0,21842.0,107900.0
-122.18,37.76,37.0,320.0,22917.0,107000.0
-122.17,37.76,38.0,354.0,24333.0,98200.0
-122.18,37.76,50.0,246.0,19479.0,89500.0
-122.18,37.76,52.0,165.0,39063.0,93800.0
-122.18,37.76,49.0,451.0,18407.0,96700.0
-122.18,37.77,27.0,157.0,20786.0,97500.0
-122.18,37.77,42.0,268.0,28125.0,97300.0
-122.18,37.76,43.0,367.0,18913.0,91200.0
-122.19,37.76,49.0,269.0,17056.0,91400.0
-122.18,37.77,52.0,554.0,22768.0,96200.0
-122.18,37.77,51.0,438.0,32552.0,120100.0
-122.18,37.77,52.0,366.0,20556.0,100000.0
-122.19,37.76,52.0,350.0,24659.0,94700.0
-122.2,37.76,47.0,279.0,17500.0,85700.0
-122.19,37.77,41.0,454.0,20469.0,89300.0
-122.19,37.77,45.0,349.0,27159.0,101400.0
-122.19,37.76,41.0,159.0,12083.0,72500.0
-122.2,37.75,36.0,133.0,15809.0,70000.0
-122.2,37.76,37.0,667.0,14097.0,84600.0
-122.19,37.76,38.0,351.0,7683.0,81800.0
-122.19,37.75,19.0,520.0,13193.999999999998,81400.0
-122.19,37.75,28.0,162.0,8012.0,81800.0
-122.19,37.76,26.0,303.0,19479.0,85800.0
-122.19,37.74,36.0,159.0,11765.000000000002,87100.0
-122.18,37.74,42.0,123.0,23456.0,83500.0
-122.19,37.73,44.0,244.0,21538.0,79700.0
-122.19,37.74,43.0,155.0,25139.0,83400.0
-122.19,37.73,45.0,287.0,12625.0,84700.0
-122.18,37.73,42.0,198.0,29063.0,80000.0
-122.18,37.73,44.0,136.0,21111.0,79700.0
-122.18,37.73,42.0,780.0,24550.0,82400.0
-122.17,37.74,41.0,414.0,24028.0,97700.0
-122.17,37.74,47.0,137.0,21500.0,97200.0
-122.17,37.74,43.0,179.0,24776.0,101600.0
-122.17,37.73,43.0,341.0,21587.0,86500.0
-122.18,37.74,35.0,109.0,18438.0,90500.0
-122.17,37.74,46.0,225.0,30298.0,107600.0
-122.18,37.74,46.0,354.0,22467.0,88900.0
-122.18,37.75,45.0,80.0,40469.0,80700.0
-122.18,37.75,46.0,195.0,13250.0,87100.0
-122.18,37.75,45.0,260.0,21731.0,82000.0
-122.19,37.75,36.0,150.0,19167.0,82800.0
-122.18,37.75,43.0,213.0,20690.0,84600.0
-122.18,37.75,36.0,166.0,17120.0,82100.0
-122.17,37.76,33.0,286.0,25625.0,89300.0
-122.17,37.75,43.0,306.0,19821.0,98300.0
-122.17,37.75,41.0,230.0,25043.000000000004,92300.0
-122.17,37.75,44.0,254.0,23281.0,88800.0
-122.16,37.76,45.0,484.0,25122.0,95500.0
-122.16,37.75,38.0,482.0,15625.0,91700.0
-122.17,37.75,47.0,185.0,31587.0,100400.0
-122.17,37.76,40.0,342.0,18426.0,94800.0
-122.16,37.76,46.0,302.0,46696.0,164300.0
-122.15,37.76,39.0,270.0,60749.00000000001,196900.0
-122.14,37.77,27.0,355.0,48304.0,279100.0
-122.14,37.76,34.0,211.0,55701.0,252800.0
-122.12,37.75,33.0,219.0,68600.0,250000.0
-122.12,37.75,28.0,109.0,76923.0,329800.0
-122.14,37.75,36.0,109.0,40313.0,195500.0
-122.14,37.75,33.0,202.0,68323.0,255900.0
-122.13,37.75,30.0,50.0,49750.0,311100.0
-122.13,37.75,36.0,93.0,53602.0,330000.0
-122.13,37.74,41.0,648.0,50000.0,248900.0
-122.16,37.75,46.0,154.0,29250.0,142900.0
-122.15,37.75,40.0,255.0,38913.0,126300.0
-122.15,37.75,44.0,331.0,32250.0,135800.0
-122.15,37.74,41.0,191.0,31458.0,130600.0
-122.16,37.75,24.0,386.0,25370.0,107900.0
-122.16,37.75,44.0,135.0,25568.0,111100.0
-122.15,37.74,43.0,272.0,35083.0,122000.0
-122.15,37.74,49.0,282.0,33125.0,118000.0
-122.16,37.75,40.0,261.0,18235.0,95200.0
-122.16,37.75,35.0,133.0,38047.0,94300.0
-122.17,37.74,34.0,280.0,22917.0,92500.0
-122.17,37.75,37.0,259.0,24962.0,91800.0
-122.16,37.74,43.0,295.0,40416.99999999999,109400.0
-122.16,37.74,46.0,211.0,34844.0,129500.0
-122.16,37.74,52.0,144.0,41458.00000000001,143400.0
-122.16,37.74,47.0,166.0,26250.0,98200.0
-122.16,37.74,44.0,215.0,20227.0,103100.0
-122.29,37.9,49.0,236.0,33333.0,276800.0
-122.29,37.9,52.0,286.0,53380.0,270900.0
-122.29,37.89,52.0,377.0,34732.0,246200.0
-122.3,37.9,38.0,509.0,35125.0,224200.0
-122.29,37.89,52.0,326.0,31375.0,229100.0
-122.3,37.89,46.0,375.0,28036.0,211600.0
-122.3,37.9,15.0,1146.0,45824.0,256100.0
-122.3,37.89,36.0,276.0,30208.0,206300.0
-122.3,37.89,52.0,275.0,40875.0,221300.0
-122.34,37.88,37.0,924.0,17375.0,350000.0
-122.29,37.89,52.0,696.0,31795.0,218200.0
-122.29,37.88,50.0,227.0,38672.0,216700.0
-122.29,37.89,52.0,153.0,51675.00000000001,270600.0
-122.29,37.89,52.0,371.0,51696.0,261400.0
-122.28,37.88,52.0,334.0,42614.0,261300.0
-122.29,37.89,52.0,423.0,50551.00000000001,232200.0
-122.27,37.9,42.0,256.0,56228.0,375400.0
-122.26,37.9,52.0,288.0,78864.0,357300.0
-122.27,37.9,52.0,275.0,79556.0,374400.0
-122.27,37.9,52.0,236.0,61740.00000000001,358800.0
-122.27,37.9,52.0,253.0,69414.0,417500.0
-122.27,37.89,52.0,365.0,88341.99999999999,430500.0
-122.28,37.9,52.0,312.0,71754.0,362900.0
-122.28,37.9,52.0,244.0,100825.0,397000.0
-122.28,37.9,52.0,335.0,49083.0,346800.0
-122.28,37.89,52.0,168.0,57912.0,327100.0
-122.28,37.89,52.0,369.0,45893.0,290100.0
-122.28,37.89,52.0,306.0,54170.99999999999,292000.0
-122.28,37.89,52.0,487.0,41250.0,270900.0
-122.27,37.89,52.0,355.0,72660.0,371100.0
-122.27,37.89,52.0,272.0,53989.0,335600.0
-122.26,37.9,37.0,362.0,78336.0,371300.0
-122.25,37.89,41.0,181.0,61593.0,344000.0
-122.26,37.89,52.0,462.0,63810.0,342200.0
-122.26,37.89,52.0,504.0,66828.0,370900.0
-122.25,37.89,37.0,450.0,75385.0,350000.0
-122.25,37.89,42.0,448.0,67138.0,368600.0
-122.26,37.88,52.0,404.0,62425.0,391800.0
-122.26,37.88,52.0,377.0,57979.0,415300.0
-122.27,37.88,52.0,621.0,42813.0,284900.0
-122.27,37.88,52.0,367.0,35417.0,287500.0
-122.27,37.88,44.0,550.0,30132.0,272900.0
-122.28,37.88,52.0,464.0,41429.0,259600.0
-122.28,37.88,52.0,207.0,41912.0,254500.0
-122.28,37.88,52.0,218.0,39167.0,235600.0
-122.29,37.88,52.0,388.0,38897.0,218400.0
-122.29,37.88,48.0,475.0,31065.0,229200.0
-122.29,37.88,46.0,425.0,29926.0,192100.0
-122.29,37.88,52.0,380.0,35560.0,179300.0
-122.3,37.88,45.0,137.0,14750.0,187500.0
-122.3,37.88,52.0,98.0,16971.0,138800.0
-122.3,37.87,10.0,100.0,21705.0,150000.0
-122.3,37.86,50.0,128.0,27500.0,140600.0
-122.3,37.88,46.0,355.0,29000.0,144800.0
-122.3,37.87,52.0,684.0,22208.0,144800.0
-122.28,37.87,52.0,131.0,35156.0,200000.0
-122.28,37.87,49.0,521.0,19805.0,173700.0
-122.29,37.87,50.0,516.0,26684.0,185600.0
-122.29,37.87,52.0,204.0,38750.0,182600.0
-122.28,37.88,52.0,406.0,30060.0,227900.0
-122.28,37.87,46.0,675.0,25430.0,220700.0
-122.28,37.87,46.0,431.0,28676.0,212000.0
-122.27,37.88,52.0,876.0,21907.0,271400.0
-122.27,37.87,30.0,425.0,17778.0,268800.0
-122.27,37.88,37.0,616.0,25200.0,277800.0
-122.26,37.88,52.0,573.0,29440.0,338900.0
-122.26,37.88,52.0,769.0,17250.0,287500.0
-122.25,37.87,41.0,123.0,52289.0,384600.0
-122.25,37.87,42.0,422.0,25562.0,371400.0
-122.25,37.87,52.0,477.0,9490.0,350000.0
-122.26,37.87,52.0,350.0,14012.0,175000.0
-122.26,37.87,52.0,949.0,11859.0,241700.0
-122.27,37.87,35.0,1000.0,17464.0,216700.0
-122.27,37.87,49.0,350.0,28846.0,211300.0
-122.27,37.87,52.0,694.0,27372.0,210200.0
-122.28,37.87,52.0,339.0,35625.0,191700.0
-122.28,37.87,52.0,292.0,22788.0,182300.0
-122.29,37.87,44.0,713.0,25370.0,175000.0
-122.29,37.87,46.0,321.0,25250.0,165900.0
-122.29,37.86,52.0,372.0,19946.0,156900.0
-122.28,37.86,52.0,346.0,28214.0,164300.0
-122.29,37.87,52.0,430.0,26165.0,150000.0
-122.29,37.86,50.0,563.0,19483.0,150500.0
-122.28,37.86,52.0,445.0,19327.0,169900.0
-122.28,37.86,49.0,608.0,19798.0,147400.0
-122.27,37.86,49.0,414.0,25417.0,182700.0
-122.28,37.86,52.0,358.0,33906.0,179300.0
-122.28,37.86,52.0,636.0,25652.0,157700.0
-122.28,37.86,41.0,568.0,22845.0,153100.0
-122.27,37.86,52.0,175.0,31500.0,206300.0
-122.27,37.86,52.0,548.0,18447.0,198200.0
-122.26,37.86,35.0,1742.0,16307.0,253600.0
-122.26,37.86,52.0,794.0,29044.0,257400.0
-122.26,37.86,52.0,679.0,29405.0,289500.0
-122.25,37.86,48.0,459.0,30417.0,489600.0
-122.25,37.86,52.0,295.0,50462.99999999999,456300.0
-122.24,37.86,52.0,214.0,78521.0,500001.0
-122.24,37.85,52.0,496.0,93959.0,500001.0
-122.25,37.86,52.0,590.0,53794.00000000001,376900.0
-122.26,37.85,52.0,755.0,32619.0,309600.0
-122.27,37.85,52.0,815.0,27054.0,182300.0
-122.27,37.85,47.0,326.0,22431.0,172700.0
-122.27,37.85,50.0,255.0,19028.0,150800.0
-122.27,37.85,52.0,363.0,15817.000000000002,153600.0
-122.27,37.85,52.0,77.0,22841.0,106300.0
-122.27,37.85,47.0,319.0,13785.0,142300.0
-122.28,37.85,52.0,132.0,29018.0,119400.0
-122.28,37.85,44.0,204.0,17300.0,147900.0
-122.28,37.85,48.0,466.0,22625.0,132900.0
-122.29,37.84,35.0,414.0,22106.0,132500.0
-122.28,37.83,52.0,765.0,26997.0,126900.0
-122.3,37.84,14.0,2051.0,40018.0,143800.0
-122.23,37.83,52.0,361.0,78772.0,500001.0
-122.22,37.82,39.0,315.0,118603.0,500001.0
-122.22,37.82,42.0,335.0,134990.0,500001.0
-122.23,37.82,52.0,352.0,122138.0,500001.0
-122.23,37.82,52.0,369.0,81872.0,466100.0
-122.23,37.82,52.0,383.0,123804.0,500001.0
-122.24,37.83,52.0,227.0,58948.0,457800.0
-122.24,37.83,52.0,316.0,81194.0,471600.0
-122.23,37.82,52.0,179.0,87477.0,500001.0
-122.24,37.82,52.0,520.0,61550.0,398600.0
-122.23,37.76,52.0,518.0,52128.0,289900.0
-122.23,37.76,52.0,321.0,47188.0,335300.0
-122.23,37.76,52.0,162.0,52915.0,333000.0
-122.24,37.77,52.0,223.0,26411.0,241000.0
-122.23,37.77,52.0,160.0,33214.0,189600.0
-122.24,37.77,52.0,373.0,36417.0,206300.0
-122.25,37.77,52.0,215.0,31771.0,210200.0
-122.25,37.77,52.0,264.0,34531.0,208800.0
-122.25,37.77,52.0,158.0,43098.0,197900.0
-122.26,37.78,52.0,208.0,33438.0,201300.0
-122.26,37.78,52.0,216.0,29213.0,190800.0
-122.27,37.78,52.0,265.0,26806.0,207900.0
-122.27,37.78,52.0,265.0,37708.0,215300.0
-122.27,37.78,45.0,286.0,39444.0,212900.0
-122.27,37.78,13.0,486.0,52601.00000000001,292700.0
-122.28,37.79,30.0,855.0,25444.0,275000.0
-122.3,37.77,42.0,355.0,26447.0,200000.0
-122.29,37.78,42.0,300.0,19427.0,102200.0
-122.28,37.77,52.0,347.0,29688.0,220800.0
-122.28,37.77,27.0,966.0,37500.0,242800.0
-122.29,37.76,18.0,663.0,51702.0,265400.0
-122.28,37.78,50.0,327.0,25139.0,219000.0
-122.26,37.77,52.0,299.0,29732.0,282100.0
-122.27,37.77,52.0,434.0,55336.99999999999,372000.0
-122.27,37.77,52.0,457.0,27115.0,220800.0
-122.27,37.77,52.0,518.0,33269.0,234500.0
-122.25,37.77,52.0,445.0,32685.0,254200.0
-122.26,37.77,52.0,297.0,47778.0,351800.0
-122.26,37.77,52.0,340.0,42260.0,275000.0
-122.26,37.77,52.0,172.0,33571.0,405400.0
-122.26,37.77,52.0,413.0,29899.0,228100.0
-122.24,37.77,43.0,266.0,23882.0,162500.0
-122.25,37.77,43.0,1053.0,29750.0,243400.0
-122.23,37.76,52.0,535.0,51039.0,273800.0
-122.24,37.76,52.0,472.0,34762.0,244000.0
-122.24,37.76,52.0,446.0,26833.0,240900.0
